ts,kwd_no
2025-11-13 14:31:26,B316
2025-11-13 14:31:26,B332
2025-11-13 14:31:26,B341
2025-11-13 14:31:26,B342
2025-11-13 14:31:26,B343
2025-11-13 14:31:26,B344
2025-11-13 14:31:26,B345
2025-11-13 14:31:26,B346
2025-11-13 14:31:26,B347
2025-11-13 14:31:26,B348
2025-11-13 14:31:26,B349
2025-11-13 14:31:26,B353
2025-11-13 14:31:32,B036
2025-11-13 14:31:32,B037
2025-11-13 14:31:32,B110
2025-11-13 14:31:32,B111
2025-11-13 14:31:32,B112
2025-11-13 14:31:32,B113
2025-11-13 14:31:32,B114
2025-11-13 14:31:32,B115
2025-11-13 14:31:32,B141
2025-11-13 14:31:32,B160
2025-11-13 14:31:32,B168
2025-11-13 14:31:32,B169
2025-11-13 14:31:32,B174
2025-11-13 14:31:32,B180
2025-11-13 14:31:32,B199
2025-11-13 14:31:32,B200
2025-11-13 14:31:32,B201
2025-11-13 14:31:32,B202
2025-11-13 14:31:32,B203
2025-11-13 14:31:32,B214
2025-11-13 14:31:32,B220
2025-11-13 14:31:32,B221
2025-11-13 14:31:32,B247
2025-11-13 14:31:32,B248
2025-11-13 14:31:32,B249
2025-11-13 14:31:32,B304
2025-11-13 14:31:32,B305
2025-11-13 14:31:32,B306
2025-11-13 14:31:32,B307
2025-11-13 14:31:32,B308
2025-11-13 14:31:32,B309
2025-11-13 14:31:32,B310
2025-11-13 14:31:32,B311
2025-11-13 14:31:32,B312
2025-11-13 14:31:32,B313
2025-11-13 14:31:32,B314
2025-11-13 14:31:32,B315
2025-11-13 14:31:32,B316
2025-11-13 14:31:32,B332
2025-11-13 14:31:32,B341
2025-11-13 14:31:32,B342
2025-11-13 14:31:32,B343
2025-11-13 14:31:32,B344
2025-11-13 14:31:32,B345
2025-11-13 14:31:32,B346
2025-11-13 14:31:32,B347
2025-11-13 14:31:32,B348
2025-11-13 14:31:32,B349
2025-11-13 14:31:32,B353
2025-11-13 14:40:35,B118
2025-11-13 14:40:35,B244
2025-11-13 14:43:39,B118
2025-11-13 14:43:39,B244
2025-11-13 14:48:01,B118
2025-11-13 14:48:01,B244
2025-11-13 14:49:34,B141
2025-11-13 14:49:34,B247
2025-11-13 14:49:34,B352
2025-11-13 14:49:34,F187
2025-11-13 14:49:34,F394
2025-11-13 14:49:34,G007
2025-11-13 14:49:34,I149
2025-11-13 14:49:34,I264
2025-11-13 14:52:19,B141
2025-11-13 14:52:19,B247
2025-11-13 14:52:19,B352
2025-11-13 14:52:19,F187
2025-11-13 14:52:19,F394
2025-11-13 14:52:19,G007
2025-11-13 14:52:19,I149
2025-11-13 14:52:19,I264
2025-11-13 14:53:05,B141
2025-11-13 14:53:05,B247
2025-11-13 14:53:05,B352
2025-11-13 14:56:32,B036
2025-11-13 14:56:32,B037
2025-11-13 14:56:32,B110
2025-11-13 14:56:32,B111
2025-11-13 14:56:32,B112
2025-11-13 14:56:32,B113
2025-11-13 14:56:32,B114
2025-11-13 14:56:32,B115
2025-11-13 14:56:32,B141
2025-11-13 14:56:32,B160
2025-11-13 14:56:32,B168
2025-11-13 14:56:32,B169
2025-11-13 14:56:32,B174
2025-11-13 14:56:32,B180
2025-11-13 14:56:32,B199
2025-11-13 14:56:32,B200
2025-11-13 14:56:32,B201
